Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
WRDS,1104,011,11931,Writing and Inquiry in Academic Contexts I and II with Studio,4.0,Main Campus or Dubois Campus,Lecture,Julie Cook (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",04:00  PM,05:15  PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1104,012,11932,Writing and Inquiry in Academic Contexts I and II with Studio,4.0,Main Campus or Dubois Campus,Lecture,Julie Cook (Primary),Student Data Mart - Gen Ed,,,,Thursday,05:30  PM,08:15  PM,McEniry,405,08/17/2026,12/10/2026,5,4,,
WRDS,1104,018,13161,Writing and Inquiry in Academic Contexts I and II with Studio,4.0,Main Campus or Dubois Campus,Lecture,Adam Sandlin (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",12:20  PM,01:10  PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1104,019,13171,Writing and Inquiry in Academic Contexts I and II with Studio,4.0,Main Campus or Dubois Campus,Lecture,Adam Sandlin (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",01:25  PM,02:15  PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
HLTH,3103,001,11195,Beh Change Theories & Practice,3.0,Main Campus or Dubois Campus,Lecture,Lorenzo Hopper (Primary),,,,,"Monday,Wednesday",04:00  PM,05:15  PM,McEniry,116,08/17/2026,12/10/2026,85,16,,
PPOL,8610,001,16071,The Urban Region,3.0,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,02:30  PM,05:15  PM,McEniry,117,08/17/2026,12/10/2026,5,5,,
RELS,3260,001,13950,Buddhism in the Modern World,3.0,Main Campus or Dubois Campus,Lecture,Alexandra Kaloyanides (Primary),"Cultural Analysis - RELS

Historical Analysis - RELS",,,,"Tuesday,Thursday",11:30  AM,12:45  PM,McEniry,118,08/17/2026,12/10/2026,30,17,3.0,3.0
RUSS,3204,001,13749,Topics in Russian: Masterpieces of Russian Literature,3.0,Main Campus or Dubois Campus,Lecture,Yekaterina Skorodinskaya (Primary),,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,McEniry,127,08/17/2026,12/10/2026,5,0,2.0,2.0
ITIS,3135,052,11577,Front-End Web Application Development,3.0,Main Campus or Dubois Campus,Lecture,D.I. von Briesen (Primary),,,,,Tuesday,04:00  PM,05:15  PM,McEniry,124,08/17/2026,12/10/2026,75,45,7.0,7.0
ITIS,3135,053,13827,Front-End Web Application Development,3.0,Main Campus or Dubois Campus,Lecture,D.I. von Briesen (Primary),,,,,Tuesday,05:30  PM,06:45  PM,McEniry,124,08/17/2026,12/10/2026,75,65,7.0,7.0
ITIS,3261,001,14303,Foundations of Cloud Computing,3.0,Main Campus or Dubois Campus,Lecture/Lab,Bei-Tseng Chu (Primary),,,,,Monday,04:00  PM,06:45  PM,McEniry,117,08/17/2026,12/10/2026,75,38,7.0,7.0
PHIL,3059,001,14969,Topics in Knowledge/Language: Metaphysics,3.0,Main Campus or Dubois Campus,Lecture,Tina Talsma (Primary),,,,,"Monday,Wednesday,Friday",01:25  PM,02:15  PM,McEniry,118,08/17/2026,12/10/2026,30,1,3.0,3.0
PHYS,4140,001,17497,Nuclear Physics,3.0,Main Campus or Dubois Campus,Lecture,,,,,,"Tuesday,Thursday",05:00  PM,06:15  PM,McEniry,118,08/17/2026,12/10/2026,20,10,,
POLS,1575,002,14388,Foundations of American Democracy,3.0,Main Campus or Dubois Campus,Lecture,Carlin Crisanti (Primary),"American Democracy

Local Social Science Theme",,,,"Monday,Wednesday",11:15  AM,12:05  PM,McEniry,124,08/17/2026,12/10/2026,153,105,,
PSYC,2341,003,14914,Psychopathology,3.0,Main Campus or Dubois Campus,Lecture,Lucille Joe-Harris (Primary),,,,,Tuesday,02:30  PM,03:45  PM,McEniry,117,08/17/2026,12/10/2026,50,0,5.0,4.0
PSYC,2341,004,15229,Psychopathology,3.0,Main Campus or Dubois Campus,Lecture,Kathleen Tillman (Primary),,,,,Thursday,02:30  PM,03:45  PM,McEniry,117,08/17/2026,12/10/2026,50,0,5.0,5.0
PSYC,2350,003,14871,Introduction to Social Psychology,3.0,Main Campus or Dubois Campus,Lecture,Lucille Joe-Harris (Primary),,,,,Tuesday,04:00  PM,05:15  PM,McEniry,117,08/17/2026,12/10/2026,50,1,,
PSYC,2390,002,14990,Life Beyond the Psychology Bachelor of Science,3.0,Main Campus or Dubois Campus,Lecture,Jordan Lyerly (Primary),,,,,Friday,10:10  AM,11:00  AM,McEniry,116,08/17/2026,12/10/2026,69,24,6.0,6.0
METR,1102,002,12570,Introduction to Meteorology,3.0,Main Campus or Dubois Campus,Lecture,Lauren Burns (Primary),Natural Science Requirement,,,,"Tuesday,Thursday",11:30  AM,12:45  PM,McEniry,124,08/17/2026,12/10/2026,180,124,10.0,10.0
METR,1102L,L01,12029,Introduction to Meteorology Lab,1.0,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Tuesday,02:30  PM,05:15  PM,McEniry,203,08/17/2026,12/10/2026,23,5,2.0,2.0
METR,1102L,L02,12030,Introduction to Meteorology Lab,1.0,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Monday,02:30  PM,05:15  PM,McEniry,203,08/17/2026,12/10/2026,23,2,2.0,2.0
METR,1102L,L03,12031,Introduction to Meteorology Lab,1.0,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Thursday,02:30  PM,05:15  PM,McEniry,203,08/17/2026,12/10/2026,23,15,2.0,2.0
METR,1600,001,13800,First-Year Meteorology Seminar,1.0,Main Campus or Dubois Campus,Seminar,Casey Davenport (Primary),,,,,Wednesday,10:10  AM,11:00  AM,McEniry,123,08/17/2026,12/10/2026,40,28,2.0,2.0
METR,3140,001,10411,Fundamentals of Meteorology,3.0,Main Campus or Dubois Campus,Lecture,Terry Shirley (Primary),,,,,"Monday,Wednesday,Friday",12:20  PM,01:10  PM,McEniry,123,08/17/2026,12/10/2026,45,16,5.0,5.0
METR,4110,001,11214,Atmospheric Instrumentation,3.0,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday,Friday",11:15  AM,12:05  PM,McEniry,203,08/17/2026,12/10/2026,15,0,3.0,2.0
METR,4245,001,10415,Adv Synoptic Meteorology,3.0,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday",02:30  PM,03:45  PM,McEniry,401,08/17/2026,12/10/2026,25,11,2.0,2.0
METR,4250,001,11356,Adv Dynamic Meteorology,3.0,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",11:30  AM,12:45  PM,McEniry,405,08/17/2026,12/10/2026,20,7,2.0,2.0
METR,4320,001,10960,Tropical Meteorology,3.0,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday",04:00  PM,05:15  PM,McEniry,401,08/17/2026,12/10/2026,15,5,,
NUNP,6250,090,10181,Advanced Primary Care and Health Promotion of Adults Across the Lifespan,3.0,Main Campus or Dubois Campus,Lecture,Cory Sheeler (Primary),,,,,Monday,05:30  PM,08:00  PM,McEniry,127,08/17/2026,12/10/2026,40,0,,
MATH,1241,001,10779,Calculus I,3.0,Main Campus or Dubois Campus,Lecture,Robert Bland (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Monday,Wednesday,Friday",08:00  AM,08:50  AM,McEniry,116,08/17/2026,12/10/2026,84,50,,
MATH,1241,002,10484,Calculus I,3.0,Main Campus or Dubois Campus,Lecture,Caylah Crosby (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Tuesday,Thursday",08:30  AM,09:45  AM,McEniry,116,08/17/2026,12/10/2026,84,47,,
MATH,1241,005,10485,Calculus I,3.0,Main Campus or Dubois Campus,Lecture,Caylah Crosby (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Monday,Wednesday,Friday",11:15  AM,12:05  PM,McEniry,116,08/17/2026,12/10/2026,59,7,,
MATH,1241,009,13731,Calculus I,3.0,Main Campus or Dubois Campus,Lecture,Ree Linker (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Monday,Wednesday,Friday",12:20  PM,01:10  PM,McEniry,117,08/17/2026,12/10/2026,59,26,,
MATH,1241,012,13734,Calculus I,3.0,Main Campus or Dubois Campus,Lecture,Scott Wilde (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,116,08/17/2026,12/10/2026,59,51,,
ETME,2100,001,11645,Sophomore Design Practicum,2.0,Main Campus or Dubois Campus,Practicum,Christopher Green (Primary),,,,,"Monday,Wednesday",04:00  PM,05:15  PM,McEniry,127,08/17/2026,12/10/2026,48,17,5.0,5.0
INES,8090,G02,14191,Top Infrastruct & Environ Syst,3.0,Main Campus or Dubois Campus,Lecture,Craig Allan (Primary),,,,,Wednesday,05:30  PM,08:15  PM,McEniry,201,08/17/2026,12/10/2026,5,3,,
INES,8130,001,15808,Teaching and Learning in the Geosciences,3.0,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
MKTG,3224,001,17206,Product and Brand Management,3.0,Main Campus or Dubois Campus,Lecture,,,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,401,08/17/2026,12/10/2026,40,0,4.0,3.0
MKTG,3226,001,10947,Business-to-Business Marketing and Retailing,3.0,Main Campus or Dubois Campus,Lecture,Cindy Fox (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,123,08/17/2026,12/10/2026,40,0,4.0,4.0
EXER,2333,001,12450,Baseball Through History and Playing I (1800s-1947),3.0,Main Campus or Dubois Campus,Lecture,Jeff Barto (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,127,08/17/2026,12/10/2026,48,0,,
FILM,3050,003,14394,Topics in Film Theory/History: Chinese Film,3.0,Main Campus or Dubois Campus,Lecture,Amanda Zhou (Primary),,,,,"Monday,Wednesday",02:30  PM,03:45  PM,McEniry,123,08/17/2026,12/10/2026,24,0,1.0,1.0
FILM,3051,003,15043,Topics in Film Production: Camp Aesthetic and Sensibility in Film,3.0,Main Campus or Dubois Campus,Lecture,Justin Evans (Primary),,,,,Wednesday,02:30  PM,05:15  PM,McEniry,118,08/17/2026,12/10/2026,30,22,3.0,3.0
GEOG,1103,001,11100,Spatial Thinking,4.0,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",08:30  AM,09:45  AM,McEniry,117,08/17/2026,12/10/2026ThursdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,20,7,,
GEOG,1103,002,11101,Spatial Thinking,4.0,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",08:30  AM,09:45  AM,McEniry,117,08/17/2026,12/10/2026ThursdaySMTWTFS05:30  PM - 08:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,20,10,,
GEOG,1103,003,12007,Spatial Thinking,4.0,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,Friday,08:00  AM,11:00  AM,McEniry,431,08/17/2026,"12/10/2026Tuesday,ThursdaySMTWTFS08:30  AM - 09:45  AM Type: Class Building: McEniry Room: 117 Start Date: 08/17/2026 End Date: 12/10/2026",20,10,,
GEOG,1501,001,12996,Global Social Science: World Geography,3.0,Main Campus or Dubois Campus,Lecture,Michael Ewers (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,McEniry,116,08/17/2026,12/10/2026,80,1,2.0,2.0
GEOG,1511,001,12998,Local Social Science: Urban and Regional Planning,3.0,Main Campus or Dubois Campus,Lecture,Michelle Zuniga (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,117,08/17/2026,12/10/2026,80,40,2.0,2.0
GEOG,2105,001,11511,Intro to Economic Geography,3.0,Main Campus or Dubois Campus,Lecture,Bill Graves (Primary),,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,McEniry,118,08/17/2026,12/10/2026,30,16,5.0,5.0
GEOG,2110,001,10351,Intro to Geographic Research,3.0,Main Campus or Dubois Campus,Lecture,Jamie Strickland (Primary),,,,,"Monday,Wednesday,Friday",12:20  PM,01:10  PM,McEniry,118,08/17/2026,12/10/2026,30,10,3.0,3.0
GEOG,2111,001,15710,Social inequality,3.0,Main Campus or Dubois Campus,Lecture,Tamara Johnson (Primary),Service Learning,,,,Monday,02:30  PM,05:15  PM,McEniry,118,08/17/2026,12/10/2026,25,25,2.0,2.0
GEOG,3000,004,17658,Topics in Regional Geography: Extinction in Space and Time,3.0,Main Campus or Dubois Campus,Lecture,Bill Garcia (Primary),,,,,"Tuesday,Thursday",04:00  PM,05:15  PM,McEniry,401,08/17/2026,12/10/2026,18,16,,
