Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
ITIS,3135,53,13827,Front-End Web Application Development,3,Main Campus or Dubois Campus,Lecture,D.I. von Briesen (Primary),,,,,Tuesday,5:30 PM,6:45 PM,McEniry,124,08/17/2026,12/10/2026,75,65,7,7
ITIS,3261,1,14303,Foundations of Cloud Computing,3,Main Campus or Dubois Campus,Lecture/Lab,Bei-Tseng Chu (Primary),,,,,Monday,4:00 PM,6:45 PM,McEniry,117,08/17/2026,12/10/2026,75,38,7,7
PHIL,3059,1,14969,Topics in Knowledge/Language: Metaphysics,3,Main Campus or Dubois Campus,Lecture,Tina Talsma (Primary),,,,,"Monday,Wednesday,Friday",1:25 PM,2:15 PM,McEniry,118,08/17/2026,12/10/2026,30,1,3,3
PHYS,4140,1,17497,Nuclear Physics,3,Main Campus or Dubois Campus,Lecture,,,,,,"Tuesday,Thursday",5:00 PM,6:15 PM,McEniry,118,08/17/2026,12/10/2026,20,10,,
POLS,1575,2,14388,Foundations of American Democracy,3,Main Campus or Dubois Campus,Lecture,Carlin Crisanti (Primary),American Democracy,,,,"Monday,Wednesday",11:15 AM,12:05 PM,McEniry,124,08/17/2026,12/10/2026,153,105,,
PSYC,2341,3,14914,Psychopathology,3,Main Campus or Dubois Campus,Lecture,Lucille Joe-Harris (Primary),,,,,Tuesday,2:30 PM,3:45 PM,McEniry,117,08/17/2026,12/10/2026,50,0,5,4
PSYC,2341,4,15229,Psychopathology,3,Main Campus or Dubois Campus,Lecture,Kathleen Tillman (Primary),,,,,Thursday,2:30 PM,3:45 PM,McEniry,117,08/17/2026,12/10/2026,50,0,5,5
PSYC,2350,3,14871,Introduction to Social Psychology,3,Main Campus or Dubois Campus,Lecture,Lucille Joe-Harris (Primary),,,,,Tuesday,4:00 PM,5:15 PM,McEniry,117,08/17/2026,12/10/2026,50,1,,
PSYC,2390,2,14990,Life Beyond the Psychology Bachelor of Science,3,Main Campus or Dubois Campus,Lecture,Jordan Lyerly (Primary),,,,,Friday,10:10 AM,11:00 AM,McEniry,116,08/17/2026,12/10/2026,69,24,6,6
METR,1102,2,12570,Introduction to Meteorology,3,Main Campus or Dubois Campus,Lecture,Lauren Burns (Primary),Natural Science Requirement,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,124,08/17/2026,12/10/2026,180,124,10,10
